iter	Passed	Remaining
1033	270223	252452
1034	270413	252125
1035	270664	251853
1036	270923	251590
1037	271116	251265
1038	271434	251057
1039	271705	250804
1040	271914	250495
1041	272216	250272
1042	272459	249993
1043	272720	249732
1044	272952	249444
1045	273189	249161
1046	273458	248907
1047	273722	248648
1048	273969	248374
1049	274224	248107
1050	274493	247854
1051	274737	247577
1052	275002	247319
1053	275201	247002
1054	275460	246739
1055	275775	246526
1056	276040	246268
1057	276287	245995
1058	276574	245756
1059	276794	245459
1060	277013	245160
1061	277236	244866
1062	277509	244615
1063	277719	244309
1064	277959	244029
1065	278182	243735
1066	278456	243486
1067	278721	243228
1068	278984	242969
1069	279205	242673
1070	279458	242405
1071	279664	242097
1072	279921	241833
1073	280188	241577
1074	280405	241279
1075	280618	240976
1076	280848	240689
1077	281102	240423
1078	281340	240143
1079	281644	239919
1080	281943	239691
1081	282196	239423
1082	282436	239144
1083	282677	238867
1084	282904	238578
1085	283137	238294
1086	283346	237990
1087	283604	237727
1088	283826	237434
1089	284132	237211
1090	284364	236927
1091	284678	236710
1092	284985	236488
1093	285205	236193
1094	285490	235953
1095	285775	235712
1096	286064	235475
1097	286366	235248
1098	286650	235006
1099	286897	234734
1100	287153	234469
1101	287360	234165
1102	287608	233893
1103	287876	233638
1104	288141	233381
1105	288342	233072
1106	288630	232834
1107	288898	232578
1108	289162	232320
1109	289385	232030
1110	289616	231745
1111	289829	231446
1112	290099	231193
1113	290369	230940
1114	290677	230717
1115	290927	230447
1116	291171	230174
1117	291452	229929
1118	291746	229694
1119	291994	229424
1120	292213	229131
1121	292411	228821
1122	292679	228565
1123	292927	228296
1124	293231	228068
1125	293457	227781
1126	293698	227505
1127	293899	227198
1128	294113	226902
1129	294341	226616
1130	294610	226362
1131	294845	226083
1132	295097	225815
1133	295309	225518
1134	295560	225250
1135	295787	224964
1136	296058	224713
1137	296281	224423
1138	296509	224139
1139	296774	223882
1140	297073	223651
1141	297310	223373
1142	297566	223109
1143	297795	222826
1144	298033	222548
1145	298267	222269
1146	298470	221966
1147	298777	221740
1148	299059	221496
1149	299283	221209
1150	299537	220944
1151	299864	220733
1152	300134	220480
1153	300422	220240
1154	300658	219962
1155	300931	219710
1156	301181	219443
1157	301399	219152
1158	301638	218876
1159	301944	218649
1160	302171	218364
1161	302469	218131
1162	302681	217837
1163	302919	217561
1164	303157	217284
1165	303361	216984
1166	303617	216721
1167	303816	216417
1168	304044	216134
1169	304295	215867
1170	304599	215639
1171	304835	215361
1172	305053	215071
1173	305310	214809
1174	305534	214524
1175	305816	214279
1176	306072	214016
1177	306321	213749
1178	306591	213495
1179	306831	213221
1180	307157	213007
1181	307488	212796
1182	307735	212527
1183	308046	212302
1184	308371	212086
1185	308656	211843
1186	308938	211598
1187	309158	211310
1188	309430	211058
1189	309675	210787
1190	309957	210541
1191	310165	210246
1192	310478	210021
1193	310774	209786
1194	310992	209496
1195	311222	209216
1196	311489	208961
1197	311783	208722
1198	312011	208441
1199	312253	208168
1200	312559	207939
1201	312825	207682
1202	313064	207408
1203	313326	207149
1204	313525	206848
1205	313792	206593
1206	314027	206316
1207	314258	206036
1208	314497	205762
1209	314734	205487
1210	314974	205214
1211	315218	204943
1212	315434	204655
1213	315668	204378
1214	315900	204100
1215	316200	203866
1216	316418	203578
1217	316686	203324
1218	316955	203069
1219	317166	202778
1220	317391	202496
1221	317653	202237
1222	317895	201966
1223	318135	201693
1224	318405	201440
1225	318669	201182
1226	318989	200961
1227	319298	200731
1228	319615	200507
1229	319839	200224
1230	320109	199970
1231	320368	199710
1232	320613	199440
1233	320811	199142
1234	321036	198860
1235	321255	198575
1236	321508	198310
1237	321760	198046
1238	321979	197761
1239	322255	197511
1240	322455	197214
1241	322681	196934
1242	322934	196670
1243	323198	196413
1244	323442	196143
1245	323716	195892
1246	323961	195623
1247	324193	195347
1248	324471	195098
1249	324783	194869
1250	325082	194633
1251	325350	194378
1252	325553	194085
1253	325822	193830
1254	326087	193573
1255	326339	193309
1256	326608	193054
1257	326871	192796
1258	327154	192550
1259	327427	192298
1260	327646	192014
1261	327868	191732
1262	328131	191474
1263	328443	191245
1264	328680	190972
1265	328914	190697
1266	329167	190433
1267	329516	190225
1268	329874	190022
1269	330138	189764
1270	330369	189488
1271	330571	189195
1272	330887	188967
1273	331138	188702
1274	331408	188448
1275	331621	188161
1276	331867	187893
1277	332076	187605
1278	332346	187350
1279	332586	187080
1280	332852	186823
1281	333104	186559
1282	333397	186318
1283	333624	186039
1284	333935	185808
1285	334169	185534
1286	334362	185237
1287	334657	184996
1288	334870	184711
1289	335089	184428
1290	335337	184162
1291	335580	183894
1292	335891	183662
1293	336145	183399
1294	336380	183126
1295	336617	182854
1296	336912	182613
1297	337114	182322
1298	337366	182058
1299	337663	181819
1300	337904	181549
1301	338118	181264
1302	338391	181012
1303	338606	180728
1304	338914	180494
1305	339180	180238
1306	339429	179972
1307	339698	179718
1308	339947	179452
1309	340164	179170
1310	340387	178891
1311	340651	178634
1312	340921	178380
1313	341133	178095
1314	341394	177836
1315	341643	177571
1316	341836	177277
1317	342116	177028
1318	342341	176750
1319	342661	176522
1320	342970	176288
1321	343220	176023
1322	343547	175798
1323	343881	175577
1324	344181	175337
1325	344425	175069
1326	344741	174838
1327	344986	174571
1328	345248	174312
1329	345490	174043
1330	345720	173769
1331	345994	173516
1332	346236	173248
1333	346537	173008
1334	346737	172719
1335	346987	172455
1336	347279	172211
1337	347513	171938
1338	347774	171679
1339	348013	171409
1340	348305	171165
1341	348538	170893
1342	348769	170619
1343	349031	170360
1344	349281	170096
1345	349503	169818
1346	349778	169566
1347	350035	169304
1348	350243	169020
1349	350476	168747
1350	350784	168511
1351	351030	168245
1352	351330	168005
1353	351581	167741
1354	351800	167462
1355	352054	167200
1356	352352	166958
1357	352576	166681
1358	352774	166393
1359	353026	166130
1360	353240	165848
1361	353509	165594
1362	353758	165329
1363	353994	165058
1364	354190	164769
1365	354509	164538
1366	354751	164270
1367	355043	164025
1368	355288	163759
1369	355514	163484
1370	355803	163238
1371	356119	163005
1372	356404	162757
1373	356669	162500
1374	356948	162249
1375	357239	162003
1376	357498	161744
1377	357762	161486
1378	358004	161219
1379	358234	160945
